Roll No,CPI,Attn Bonus,A30,A20,B30,B20,C30,C20,D30,D20,E30,E20,F30,F20,S20,S80
1,9.82,14,30,19,30,20,30,20,30,20,30,20,30,20,20,80
2,9.62,14,29,19,29,20,29,20,29,20,29,20,29,20,20,77
3,9.55,18,26,15,25,17,26,18,26,18,26,18,26,18,18,72
4,9.52,18,25,14,26,18,26,18,26,18,26,18,26,18,18,72
5,9.42,17,27,16,25,17,28,19,27,18,30,20,30,20,19,76
6,9.41,13,30,18,30,20,28,19,30,20,30,20,30,20,20,80
7,9.36,18,25,15,24,17,25,18,25,18,25,18,25,18,18,70
8,9.33,18,24,14,25,18,25,18,25,18,25,18,25,18,18,70
9,9.27,17,20,11,24,16,22,15,20,14,24,16,26,18,16,64
10,9.27,10,26,15,24,16,20,14,30,20,27,18,26,18,17,68
11,9.25,17,23,13,22,15,24,16,30,20,30,20,30,20,18,72
12,9.25,17,30,19,30,20,29,20,30,20,27,18,30,20,20,80
13,9.23,17,26,16,24,17,27,19,26,18,29,20,29,20,19,73
14,9.22,13,29,18,29,20,27,19,29,20,29,20,29,20,20,77
15,9.16,17,24,14,24,16,25,17,25,17,25,17,25,17,17,72
16,9.15,17,30,18,29,20,30,20,30,20,30,20,30,20,20,79
17,9.09,15,28,16,30,20,30,20,30,20,28,19,30,20,19,76
18,9.09,17,30,18,30,20,28,19,30,20,30,20,30,20,20,80
19,9.08,17,20,11,24,16,22,15,20,14,24,16,25,18,16,62
20,9.08,10,25,15,24,16,20,14,29,20,26,18,25,18,17,66
21,9.07,17,23,13,22,15,24,16,29,20,29,20,29,20,18,70
22,9.07,17,29,19,29,20,28,20,29,20,26,18,29,20,20,77
23,8.98,17,30,18,30,20,30,20,30,20,30,20,30,20,20,79
24,8.98,17,24,14,24,16,24,17,24,17,24,17,24,17,17,70
25,8.97,17,29,18,28,20,29,20,29,20,29,20,29,20,20,76
26,8.96,15,25,14,30,20,24,16,30,20,23,16,27,18,18,72
27,8.91,15,27,16,29,20,29,20,29,20,27,19,29,20,19,73
27,8.91,15,27,16,29,20,29,20,29,20,27,19,29,20,19,73
28,8.91,17,29,18,29,20,27,19,29,20,29,20,29,20,20,77
29,8.86,16,28,16,24,16,25,17,24,16,27,18,25,17,17,69
30,8.86,16,26,15,22,15,24,16,24,16,24,16,24,16,16,65
31,8.84,13,27,18,27,18,27,18,27,18,27,18,27,18,18,72
32,8.82,16,21,12,18,12,30,20,30,20,30,20,26,18,18,72
33,8.81,16,29,17,30,20,28,19,30,20,30,20,30,20,20,80
34,8.8,17,29,18,29,20,29,20,29,20,29,20,29,20,20,76
35,8.79,16,30,18,30,20,30,20,30,20,30,20,30,20,20,79
36,8.78,15,24,14,29,20,24,16,29,20,23,16,26,18,18,70
37,8.77,16,29,17,25,17,30,20,30,20,30,20,30,20,20,79
38,8.76,10,19,10,18,12,23,16,28,19,26,18,23,16,15,60
39,8.75,16,22,12,22,15,24,16,24,16,27,18,25,17,16,70
40,8.75,16,24,14,24,16,28,19,28,19,28,19,28,19,18,72
41,8.73,16,24,14,24,16,27,18,27,18,27,18,27,18,18,72
42,8.73,16,27,16,25,17,26,18,25,17,30,20,27,18,18,72
43,8.68,16,27,16,24,16,24,17,24,16,26,18,24,17,17,67
44,8.68,16,25,15,22,15,24,16,24,16,24,16,24,16,16,63
45,8.66,16,26,15,26,18,26,18,26,18,28,19,27,18,18,72
46,8.64,16,21,12,18,12,29,20,29,20,29,20,25,18,18,70
47,8.63,16,28,17,29,20,27,19,29,20,29,20,29,20,20,77
48,8.63,16,22,12,21,14,26,18,26,18,24,16,24,16,16,72
49,8.61,16,29,18,29,20,29,20,29,20,29,20,29,20,20,76
50,8.6,17,24,14,23,16,24,17,24,17,24,17,24,17,17,65
51,8.59,16,28,17,24,17,29,20,29,20,29,20,29,20,20,76
52,8.58,10,19,10,18,12,23,16,27,19,25,18,23,16,15,58
53,8.58,16,22,12,22,15,23,16,23,16,24,16,24,16,16,70
54,8.58,16,22,12,22,15,24,16,24,16,26,18,24,17,16,68
55,8.58,16,24,14,24,16,27,19,27,19,27,19,27,19,18,70
56,8.57,17,23,13,24,17,24,17,24,17,24,17,24,17,17,65
57,8.56,16,30,18,21,14,26,18,26,18,28,19,28,19,18,72
